7.2.15.2.27.23, Arm, Arm:enToInput
7.2.15.2.27.25, Arm, Arm:enTSRemainICStart
7.2.15.2.27.27, Arm, Arm:enTSRemainICContactHome
7.2.15.2.27.28, Arm, Arm:enTSRemainICDryHome
7.2.15.2.27.30, Arm, Arm:enTSRemainICTSDown
7.2.15.2.27.31, Arm, Arm:enTSRemainICTSVaccOn
7.2.15.2.27.33, Arm, Arm:enTSRemainICTSVaccEnd
7.2.15.2.27.34, Arm, Arm:enTSRemainICTSUp
7.2.15.2.27.36, Arm, Arm:enTSRemainICCheck
7.2.15.2.27.38, Arm, Arm:enTSRemainICEnd
7.2.15.2.27.39, Arm, Arm:enToInput
7.2.15.2.27.41, Arm, 2D . 0C
7.2.15.2.27.41, Arm, Arm:enRepeatToInput
7.2.15.2.27.42, Arm, Arm:enRepeatPickIC
7.2.15.2.27.44, Arm, Arm:enRepeatVacc
7.2.15.2.27.45, Arm, Arm:enRepeatVaccEnd
7.2.15.2.27.47, Arm, Arm:enRepeatInToHome
7.2.15.2.27.48, Arm, Arm:enRepeatInToHomeEnd
7.2.15.2.27.52, Arm, Arm:enRotatorInCheckSetting
7.2.15.2.27.53, Arm, Arm:enRotatorInGoToRotator
7.2.15.2.27.75, Ts, TestSiteS:enShuttleHome
7.2.15.2.27.77, Ts, TestSiteS:enShuttleHomeStandy
7.2.15.2.28.06, Arm, Arm:enRotatorInCheckReadyForInput
7.2.15.2.28.06, Ts, TestSiteS:enShuttleHomeStandy
7.2.15.2.28.08, Arm, Arm:enRotatorInBlowDown
7.2.15.2.28.08, Ts, TestSiteS:enShuttleHomeStandy
7.2.15.2.28.09, Arm, Arm:enRotatorInBlow
7.2.15.2.28.09, Ts, TestSiteS:enShuttleHomeStandy
7.2.15.2.28.11, Arm, Arm:enRotatorInBlowUp
7.2.15.2.28.11, Ts, TestSiteS:enShuttleHomeStandy
7.2.15.2.28.13, Arm, Arm:enRotatorInCheckJamForBlow
7.2.15.2.28.13, Ts, TestSiteS:enShuttleHomeStandy
